CCI,Control,Pub,
CCI-000167,AU-11,NIST_SP_800-53,
CCI-000167,AU-11,NIST_SP_800-53_Revision_4,
CCI-000168,AU-11,NIST_SP_800-53,
CCI-000168,AU-11,NIST_SP_800-53_Revision_4,
CCI-002044,AU-11_(1),NIST_SP_800-53_Revision_4,
CCI-002045,AU-11_(1),NIST_SP_800-53_Revision_4,
CCI-000168,AU-11.1_(i_and_ii),NIST_SP_800-53A,
CCI-000167,AU-11.1_(iii),NIST_SP_800-53A,
CCI-001576,AU-12_(1),NIST_SP_800-53,
CCI-001576,AU-12_(1),NIST_SP_800-53_Revision_4,
CCI-001577,AU-12_(1),NIST_SP_800-53,
CCI-001577,AU-12_(1),NIST_SP_800-53_Revision_4,
CCI-000173,AU-12_(1),NIST_SP_800-53,
CCI-000173,AU-12_(1),NIST_SP_800-53_Revision_4,
CCI-000174,AU-12_(1),NIST_SP_800-53,
CCI-000174,AU-12_(1),NIST_SP_800-53_Revision_4,
CCI-001576,AU-12_(1).1_(i),NIST_SP_800-53A,
CCI-001577,AU-12_(1).1_(ii),NIST_SP_800-53A,
CCI-000174,AU-12_(1).1_(iii_and_v),NIST_SP_800-53A,
CCI-000173,AU-12_(1).1_(iv),NIST_SP_800-53A,
CCI-001353,AU-12_(2),NIST_SP_800-53,
CCI-001353,AU-12_(2),NIST_SP_800-53_Revision_4,
CCI-001353,AU-12_(2).1,NIST_SP_800-53A,
CCI-001911,AU-12_(3),NIST_SP_800-53_Revision_4,
CCI-001912,AU-12_(3),NIST_SP_800-53_Revision_4,
CCI-001913,AU-12_(3),NIST_SP_800-53_Revision_4,
CCI-001914,AU-12_(3),NIST_SP_800-53_Revision_4,
CCI-002047,AU-12_(3),NIST_SP_800-53_Revision_4,
CCI-000169,AU-12_a,NIST_SP_800-53,
CCI-000169,AU-12_a,NIST_SP_800-53_Revision_4,
CCI-001459,AU-12_a,NIST_SP_800-53,
CCI-001459,AU-12_a,NIST_SP_800-53_Revision_4,
CCI-000171,AU-12_b,NIST_SP_800-53,
CCI-000171,AU-12_b,NIST_SP_800-53_Revision_4,
CCI-001910,AU-12_b,NIST_SP_800-53_Revision_4,
CCI-000172,AU-12_c,NIST_SP_800-53,
CCI-000172,AU-12_c,NIST_SP_800-53_Revision_4,
CCI-001459,AU-12.1_(i),NIST_SP_800-53A,
CCI-000169,AU-12.1_(ii),NIST_SP_800-53A,
CCI-000171,AU-12.1_(iii),NIST_SP_800-53A,
CCI-000172,AU-12.1_(iv),NIST_SP_800-53A,
CCI-001460,AU-13,NIST_SP_800-53,
CCI-001460,AU-13,NIST_SP_800-53_Revision_4,
CCI-001461,AU-13,NIST_SP_800-53,
CCI-001461,AU-13,NIST_SP_800-53_Revision_4,
CCI-001915,AU-13,NIST_SP_800-53_Revision_4,
CCI-001916,AU-13_(1),NIST_SP_800-53_Revision_4,
CCI-001917,AU-13_(2),NIST_SP_800-53_Revision_4,
CCI-001918,AU-13_(2),NIST_SP_800-53_Revision_4,
CCI-001461,AU-13.1_(i),NIST_SP_800-53A,
CCI-001460,AU-13.1_(ii),NIST_SP_800-53A,
CCI-001919,AU-14,NIST_SP_800-53_Revision_4,
CCI-001464,AU-14_(1),NIST_SP_800-53,
CCI-001464,AU-14_(1),NIST_SP_800-53_Revision_4,
CCI-001464,AU-14_(1).1,NIST_SP_800-53A,
CCI-001462,AU-14_(2),NIST_SP_800-53_Revision_4,
CCI-001920,AU-14_(3),NIST_SP_800-53_Revision_4,
CCI-001462,AU-14_a,NIST_SP_800-53,
CCI-001463,AU-14_b,NIST_SP_800-53,
CCI-001462,AU-14.1_(i),NIST_SP_800-53A,
CCI-001463,AU-14.1_(ii),NIST_SP_800-53A,
CCI-001921,AU-15,NIST_SP_800-53_Revision_4,
CCI-001922,AU-15,NIST_SP_800-53_Revision_4,
CCI-001923,AU-16,NIST_SP_800-53_Revision_4,
CCI-001924,AU-16,NIST_SP_800-53_Revision_4,
CCI-001925,AU-16,NIST_SP_800-53_Revision_4,
CCI-001926,AU-16_(1),NIST_SP_800-53_Revision_4,
CCI-001927,AU-16_(2),NIST_SP_800-53_Revision_4,
CCI-001928,AU-16_(2),NIST_SP_800-53_Revision_4,
CCI-001929,AU-16_(2),NIST_SP_800-53_Revision_4,
CCI-000127,AU-2_(3),NIST_SP_800-53,
CCI-000127,AU-2_(3),NIST_SP_800-53_Revision_4,
CCI-001486,AU-2_(3),NIST_SP_800-53,
CCI-001486,AU-2_(3),NIST_SP_800-53_Revision_4,
CCI-001843,AU-2_(3),NIST_SP_800-53_Revision_4,
CCI-001486,AU-2_(3).1_(i),NIST_SP_800-53A,
CCI-000127,AU-2_(3).1_(ii),NIST_SP_800-53A,
CCI-000128,AU-2_(4),NIST_SP_800-53,
CCI-000128,AU-2_(4).1,NIST_SP_800-53A,
CCI-001571,AU-2_a,NIST_SP_800-53,
CCI-001571,AU-2_a,NIST_SP_800-53_Revision_4,
CCI-000123,AU-2_a,NIST_SP_800-53,
CCI-000123,AU-2_a,NIST_SP_800-53_Revision_4,
CCI-000129,AU-2_a,NIST_SP_800-53,
CCI-000124,AU-2_b,NIST_SP_800-53,
CCI-000124,AU-2_b,NIST_SP_800-53_Revision_4,
CCI-000125,AU-2_c,NIST_SP_800-53,
CCI-000125,AU-2_c,NIST_SP_800-53_Revision_4,
CCI-000126,AU-2_d,NIST_SP_800-53,
CCI-000126,AU-2_d,NIST_SP_800-53_Revision_4,
CCI-001484,AU-2_d,NIST_SP_800-53,
CCI-001484,AU-2_d,NIST_SP_800-53_Revision_4,
CCI-001485,AU-2_d,NIST_SP_800-53,
CCI-001485,AU-2_d,NIST_SP_800-53_Revision_4,
CCI-001571,AU-2.1_(i),NIST_SP_800-53A,
CCI-000123,AU-2.1_(ii),NIST_SP_800-53A,
CCI-000129,AU-2.1_(ii),NIST_SP_800-53A,
CCI-000124,AU-2.1_(iii),NIST_SP_800-53A,
CCI-000125,AU-2.1_(iv),NIST_SP_800-53A,
CCI-000126,AU-2.1_(v),NIST_SP_800-53A,
CCI-001484,AU-2.1_(v),NIST_SP_800-53A,
CCI-001485,AU-2.1_(vi),NIST_SP_800-53A,
CCI-000130,AU-3,NIST_SP_800-53,
CCI-000130,AU-3,NIST_SP_800-53_Revision_4,
CCI-000131,AU-3,NIST_SP_800-53,
CCI-000131,AU-3,NIST_SP_800-53_Revision_4,
CCI-000132,AU-3,NIST_SP_800-53,
CCI-000132,AU-3,NIST_SP_800-53_Revision_4,
CCI-000133,AU-3,NIST_SP_800-53,
CCI-000133,AU-3,NIST_SP_800-53_Revision_4,
CCI-000134,AU-3,NIST_SP_800-53,
CCI-000134,AU-3,NIST_SP_800-53_Revision_4,
CCI-001487,AU-3,NIST_SP_800-53,
CCI-001487,AU-3,NIST_SP_800-53_Revision_4,
CCI-000135,AU-3_(1),NIST_SP_800-53,
CCI-000135,AU-3_(1),NIST_SP_800-53_Revision_4,
CCI-001488,AU-3_(1),NIST_SP_800-53,
CCI-001488,AU-3_(1),NIST_SP_800-53_Revision_4,
CCI-001488,AU-3_(1).1_(i),NIST_SP_800-53A,
CCI-000135,AU-3_(1).1_(ii),NIST_SP_800-53A,
CCI-000136,AU-3_(2),NIST_SP_800-53,
CCI-001489,AU-3_(2),NIST_SP_800-53,
CCI-001844,AU-3_(2),NIST_SP_800-53_Revision_4,
CCI-001845,AU-3_(2),NIST_SP_800-53_Revision_4,
CCI-001846,AU-3_(2),NIST_SP_800-53_Revision_4,
CCI-001847,AU-3_(2),NIST_SP_800-53_Revision_4,
CCI-001489,AU-3_(2).1_(i),NIST_SP_800-53A,
CCI-000136,AU-3_(2).1_(ii),NIST_SP_800-53A,
CCI-000130,AU-3.1,NIST_SP_800-53A,
CCI-000131,AU-3.1,NIST_SP_800-53A,
CCI-000132,AU-3.1,NIST_SP_800-53A,
CCI-000133,AU-3.1,NIST_SP_800-53A,
CCI-000134,AU-3.1,NIST_SP_800-53A,
CCI-001487,AU-3.1,NIST_SP_800-53A,
CCI-000137,AU-4,NIST_SP_800-53,
CCI-000138,AU-4,NIST_SP_800-53,
CCI-001848,AU-4,NIST_SP_800-53_Revision_4,
CCI-001849,AU-4,NIST_SP_800-53_Revision_4,
CCI-001850,AU-4_(1),NIST_SP_800-53_Revision_4,
CCI-001851,AU-4_(1),NIST_SP_800-53_Revision_4,
CCI-000137,AU-4.1_(i),NIST_SP_800-53A,
CCI-000138,AU-4.1_(ii),NIST_SP_800-53A,
CCI-000143,AU-5_(1),NIST_SP_800-53,
CCI-000146,AU-5_(1),NIST_SP_800-53,
CCI-001852,AU-5_(1),NIST_SP_800-53_Revision_4,
CCI-001853,AU-5_(1),NIST_SP_800-53_Revision_4,
CCI-001854,AU-5_(1),NIST_SP_800-53_Revision_4,
CCI-001855,AU-5_(1),NIST_SP_800-53_Revision_4,
CCI-000146,AU-5_(1).1_(i),NIST_SP_800-53A,
CCI-000143,AU-5_(1).1_(ii),NIST_SP_800-53A,
CCI-000144,AU-5_(2),NIST_SP_800-53,
CCI-000147,AU-5_(2),NIST_SP_800-53,
CCI-000147,AU-5_(2),NIST_SP_800-53_Revision_4,
CCI-001856,AU-5_(2),NIST_SP_800-53_Revision_4,
CCI-001857,AU-5_(2),NIST_SP_800-53_Revision_4,
CCI-001858,AU-5_(2),NIST_SP_800-53_Revision_4,
CCI-000147,AU-5_(2).1_(i),NIST_SP_800-53A,
CCI-000144,AU-5_(2).1_(ii),NIST_SP_800-53A,
CCI-001573,AU-5_(3),NIST_SP_800-53,
CCI-001573,AU-5_(3),NIST_SP_800-53_Revision_4,
CCI-001574,AU-5_(3),NIST_SP_800-53,
CCI-000145,AU-5_(3),NIST_SP_800-53,
CCI-000145,AU-5_(3),NIST_SP_800-53_Revision_4,
CCI-001859,AU-5_(3),NIST_SP_800-53_Revision_4,
CCI-000145,AU-5_(3).1_(i),NIST_SP_800-53A,
CCI-001573,AU-5_(3).1_(ii),NIST_SP_800-53A,
CCI-001574,AU-5_(3).1_(iii),NIST_SP_800-53A,
CCI-001343,AU-5_(4),NIST_SP_800-53,
CCI-001860,AU-5_(4),NIST_SP_800-53_Revision_4,
CCI-001861,AU-5_(4),NIST_SP_800-53_Revision_4,
CCI-002907,AU-5_(4),NIST_SP_800-53_Revision_4,
CCI-001343,AU-5_(4).1,NIST_SP_800-53A,
CCI-001572,AU-5_a,NIST_SP_800-53,
CCI-001572,AU-5_a,NIST_SP_800-53_Revision_4,
CCI-000139,AU-5_a,NIST_SP_800-53,
CCI-000139,AU-5_a,NIST_SP_800-53_Revision_4,
CCI-000140,AU-5_b,NIST_SP_800-53,
CCI-000140,AU-5_b,NIST_SP_800-53_Revision_4,
CCI-001490,AU-5_b,NIST_SP_800-53,
CCI-001490,AU-5_b,NIST_SP_800-53_Revision_4,
CCI-001572,AU-5.1_(i),NIST_SP_800-53A,
CCI-000139,AU-5.1_(ii),NIST_SP_800-53A,
CCI-001490,AU-5.1_(iii),NIST_SP_800-53A,
CCI-000140,AU-5.1_(iv),NIST_SP_800-53A,
CCI-000152,AU-6_(1),NIST_SP_800-53,
CCI-001864,AU-6_(1),NIST_SP_800-53_Revision_4,
CCI-001865,AU-6_(1),NIST_SP_800-53_Revision_4,
CCI-000152,AU-6_(1).1,NIST_SP_800-53A,
CCI-001872,AU-6_(10),NIST_SP_800-53_Revision_4,
CCI-001873,AU-6_(10),NIST_SP_800-53_Revision_4,
CCI-001874,AU-6_(10),NIST_SP_800-53_Revision_4,
CCI-000153,AU-6_(3),NIST_SP_800-53,
CCI-000153,AU-6_(3),NIST_SP_800-53_Revision_4,
CCI-000153,AU-6_(3).1,NIST_SP_800-53A,
CCI-000154,AU-6_(4),NIST_SP_800-53,
CCI-000154,AU-6_(4),NIST_SP_800-53_Revision_4,
CCI-000154,AU-6_(4).1,NIST_SP_800-53A,
CCI-000155,AU-6_(5),NIST_SP_800-53,
CCI-001866,AU-6_(5),NIST_SP_800-53_Revision_4,
CCI-001867,AU-6_(5),NIST_SP_800-53_Revision_4,
CCI-000155,AU-6_(5).1,NIST_SP_800-53A,
CCI-001491,AU-6_(6),NIST_SP_800-53,
CCI-001491,AU-6_(6),NIST_SP_800-53_Revision_4,
CCI-001491,AU-6_(6).1,NIST_SP_800-53A,
CCI-001344,AU-6_(7),NIST_SP_800-53,
CCI-001868,AU-6_(7),NIST_SP_800-53_Revision_4,
CCI-001869,AU-6_(7),NIST_SP_800-53_Revision_4,
CCI-001344,AU-6_(7).1,NIST_SP_800-53A,
CCI-001345,AU-6_(8),NIST_SP_800-53,
CCI-001346,AU-6_(8),NIST_SP_800-53,
CCI-001870,AU-6_(8),NIST_SP_800-53_Revision_4,
CCI-001346,AU-6_(8).1_(i),NIST_SP_800-53A,
CCI-001345,AU-6_(8).1_(ii),NIST_SP_800-53A,
CCI-001347,AU-6_(9),NIST_SP_800-53,
CCI-001871,AU-6_(9),NIST_SP_800-53_Revision_4,
CCI-001347,AU-6_(9).1,NIST_SP_800-53A,
CCI-000148,AU-6_a,NIST_SP_800-53,
CCI-000148,AU-6_a,NIST_SP_800-53_Revision_4,
CCI-000149,AU-6_a,NIST_SP_800-53,
CCI-000151,AU-6_a,NIST_SP_800-53,
CCI-000151,AU-6_a,NIST_SP_800-53_Revision_4,
CCI-001862,AU-6_a,NIST_SP_800-53_Revision_4,
CCI-000149,AU-6_b,NIST_SP_800-53_Revision_4,
CCI-000150,AU-6_b,NIST_SP_800-53,
CCI-001863,AU-6_b,NIST_SP_800-53_Revision_4,
CCI-000151,AU-6.1_(i),NIST_SP_800-53A,
CCI-000148,AU-6.1_(ii),NIST_SP_800-53A,
CCI-000149,AU-6.1_(iii),NIST_SP_800-53A,
CCI-000150,AU-6.2,NIST_SP_800-53A,
CCI-000156,AU-7,NIST_SP_800-53,
CCI-000157,AU-7,NIST_SP_800-53,
CCI-000158,AU-7_(1),NIST_SP_800-53,
CCI-000158,AU-7_(1),NIST_SP_800-53_Revision_4,
CCI-001883,AU-7_(1),NIST_SP_800-53_Revision_4,
CCI-000158,AU-7_(1).1,NIST_SP_800-53A,
CCI-001884,AU-7_(2),NIST_SP_800-53_Revision_4,
CCI-001885,AU-7_(2),NIST_SP_800-53_Revision_4,
CCI-001886,AU-7_(2),NIST_SP_800-53_Revision_4,
CCI-001887,AU-7_(2),NIST_SP_800-53_Revision_4,
CCI-001875,AU-7_a,NIST_SP_800-53_Revision_4,
CCI-001876,AU-7_a,NIST_SP_800-53_Revision_4,
CCI-001877,AU-7_a,NIST_SP_800-53_Revision_4,
CCI-001878,AU-7_a,NIST_SP_800-53_Revision_4,
CCI-001879,AU-7_a,NIST_SP_800-53_Revision_4,
CCI-001880,AU-7_a,NIST_SP_800-53_Revision_4,
CCI-001881,AU-7_b,NIST_SP_800-53_Revision_4,
CCI-001882,AU-7_b,NIST_SP_800-53_Revision_4,
CCI-000156,AU-7.1,NIST_SP_800-53A,
CCI-000157,AU-7.1,NIST_SP_800-53A,
CCI-000159,AU-8,NIST_SP_800-53,
CCI-000160,AU-8_(1),NIST_SP_800-53,
CCI-000161,AU-8_(1),NIST_SP_800-53,
CCI-001492,AU-8_(1),NIST_SP_800-53,
CCI-000161,AU-8_(1)_(a),NIST_SP_800-53_Revision_4,
CCI-001492,AU-8_(1)_(a),NIST_SP_800-53_Revision_4,
CCI-001891,AU-8_(1)_(a),NIST_SP_800-53_Revision_4,
CCI-001892,AU-8_(1)_(b),NIST_SP_800-53_Revision_4,
CCI-002046,AU-8_(1)_(b),NIST_SP_800-53_Revision_4,
CCI-000161,AU-8_(1).1_(i),NIST_SP_800-53A,
CCI-001492,AU-8_(1).1_(ii),NIST_SP_800-53A,
CCI-000160,AU-8_(1).1_(iii),NIST_SP_800-53A,
CCI-001893,AU-8_(2),NIST_SP_800-53_Revision_4,
CCI-000159,AU-8_a,NIST_SP_800-53_Revision_4,
CCI-001888,AU-8_b,NIST_SP_800-53_Revision_4,
CCI-001889,AU-8_b,NIST_SP_800-53_Revision_4,
CCI-001890,AU-8_b,NIST_SP_800-53_Revision_4,
CCI-000159,AU-8.1,NIST_SP_800-53A,
CCI-000162,AU-9,NIST_SP_800-53,
CCI-000162,AU-9,NIST_SP_800-53_Revision_4,
CCI-000163,AU-9,NIST_SP_800-53,
CCI-000163,AU-9,NIST_SP_800-53_Revision_4,
CCI-000164,AU-9,NIST_SP_800-53,
CCI-000164,AU-9,NIST_SP_800-53_Revision_4,
CCI-001493,AU-9,NIST_SP_800-53,
CCI-001493,AU-9,NIST_SP_800-53_Revision_4,
CCI-001494,AU-9,NIST_SP_800-53,
CCI-001494,AU-9,NIST_SP_800-53_Revision_4,
CCI-001495,AU-9,NIST_SP_800-53,
CCI-001495,AU-9,NIST_SP_800-53_Revision_4,
CCI-000165,AU-9_(1),NIST_SP_800-53,
CCI-000165,AU-9_(1),NIST_SP_800-53_Revision_4,
CCI-000165,AU-9_(1).1,NIST_SP_800-53A,
CCI-001575,AU-9_(2),NIST_SP_800-53,
CCI-001575,AU-9_(2),NIST_SP_800-53_Revision_4,
CCI-001348,AU-9_(2),NIST_SP_800-53,
CCI-001348,AU-9_(2),NIST_SP_800-53_Revision_4,
CCI-001349,AU-9_(2),NIST_SP_800-53,
CCI-001349,AU-9_(2),NIST_SP_800-53_Revision_4,
CCI-001575,AU-9_(2).1_(i),NIST_SP_800-53A,
CCI-001349,AU-9_(2).1_(ii),NIST_SP_800-53A,
CCI-001348,AU-9_(2).1_(iii),NIST_SP_800-53A,
CCI-001350,AU-9_(3),NIST_SP_800-53,
CCI-001350,AU-9_(3),NIST_SP_800-53_Revision_4,
CCI-001496,AU-9_(3),NIST_SP_800-53,
CCI-001496,AU-9_(3),NIST_SP_800-53_Revision_4,
CCI-001350,AU-9_(3).1,NIST_SP_800-53A,
CCI-001496,AU-9_(3).1,NIST_SP_800-53A,
CCI-001351,AU-9_(4),NIST_SP_800-53_Revision_4,
CCI-001894,AU-9_(4),NIST_SP_800-53_Revision_4,
CCI-001351,AU-9_(4)_(a),NIST_SP_800-53,
CCI-001352,AU-9_(4)_(b),NIST_SP_800-53,
CCI-001351,AU-9_(4).1_(i),NIST_SP_800-53A,
CCI-001352,AU-9_(4).1_(ii),NIST_SP_800-53A,
CCI-001895,AU-9_(5),NIST_SP_800-53_Revision_4,
CCI-001896,AU-9_(5),NIST_SP_800-53_Revision_4,
CCI-001897,AU-9_(6),NIST_SP_800-53_Revision_4,
CCI-001898,AU-9_(6),NIST_SP_800-53_Revision_4,
CCI-000162,AU-9.1,NIST_SP_800-53A,
CCI-000163,AU-9.1,NIST_SP_800-53A,
CCI-000164,AU-9.1,NIST_SP_800-53A,
CCI-001493,AU-9.1,NIST_SP_800-53A,
CCI-001494,AU-9.1,NIST_SP_800-53A,
CCI-001495,AU-9.1,NIST_SP_800-53A,
CCI-000238,CA-1,NIST_SP_800-53,
CCI-000239,CA-1_a,NIST_SP_800-53,
CCI-000240,CA-1_a,NIST_SP_800-53,
CCI-000241,CA-1_a,NIST_SP_800-53,
CCI-000239,CA-1_a_1,NIST_SP_800-53_Revision_4,
CCI-000240,CA-1_a_1,NIST_SP_800-53_Revision_4,
CCI-000240,CA-1_a_1,NIST_SP_800-53_Revision_4,
CCI-002060,CA-1_a_1,NIST_SP_800-53_Revision_4,
CCI-002061,CA-1_a_1,NIST_SP_800-53_Revision_4,
CCI-000242,CA-1_a_2,NIST_SP_800-53_Revision_4,
CCI-000243,CA-1_a_2,NIST_SP_800-53_Revision_4,
CCI-002062,CA-1_a_2,NIST_SP_800-53_Revision_4,
CCI-001578,CA-1_b,NIST_SP_800-53,
CCI-000242,CA-1_b,NIST_SP_800-53,
CCI-000243,CA-1_b,NIST_SP_800-53,
CCI-000244,CA-1_b,NIST_SP_800-53,
CCI-000238,CA-1_b_1,NIST_SP_800-53_Revision_4,
CCI-000241,CA-1_b_1,NIST_SP_800-53_Revision_4,
CCI-001578,CA-1_b_2,NIST_SP_800-53_Revision_4,
CCI-000244,CA-1_b_2,NIST_SP_800-53_Revision_4,
CCI-000239,CA-1.1_(i_and_ii),NIST_SP_800-53A,
CCI-000240,CA-1.1_(iii),NIST_SP_800-53A,
CCI-000242,CA-1.1_(iv_and_v),NIST_SP_800-53A,
CCI-000243,CA-1.1_(vi),NIST_SP_800-53A,
CCI-000238,CA-1.2_(i),NIST_SP_800-53A,
CCI-000241,CA-1.2_(ii),NIST_SP_800-53A,
CCI-001578,CA-1.2_(iii),NIST_SP_800-53A,
CCI-000244,CA-1.2_(iv),NIST_SP_800-53A,
CCI-000255,CA-2_(1),NIST_SP_800-53,
CCI-000255,CA-2_(1),NIST_SP_800-53_Revision_4,
CCI-002063,CA-2_(1),NIST_SP_800-53_Revision_4,
CCI-000255,CA-2_(1).1,NIST_SP_800-53A,
CCI-001579,CA-2_(2),NIST_SP_800-53,
CCI-000256,CA-2_(2),NIST_SP_800-53,
CCI-000256,CA-2_(2),NIST_SP_800-53_Revision_4,
CCI-001582,CA-2_(2),NIST_SP_800-53_Revision_4,
CCI-001583,CA-2_(2),NIST_SP_800-53_Revision_4,
CCI-001681,CA-2_(2),NIST_SP_800-53_Revision_4,
CCI-002064,CA-2_(2),NIST_SP_800-53_Revision_4,
CCI-002065,CA-2_(2),NIST_SP_800-53_Revision_4,
CCI-000256,CA-2_(2).1_(i),NIST_SP_800-53A,
CCI-001579,CA-2_(2).1_(ii),NIST_SP_800-53A,
CCI-002066,CA-2_(3),NIST_SP_800-53_Revision_4,
CCI-002067,CA-2_(3),NIST_SP_800-53_Revision_4,
CCI-002068,CA-2_(3),NIST_SP_800-53_Revision_4,
CCI-002069,CA-2_(3),NIST_SP_800-53_Revision_4,
CCI-000245,CA-2_a,NIST_SP_800-53,
CCI-000245,CA-2_a,NIST_SP_800-53_Revision_4,
CCI-000246,CA-2_a,NIST_SP_800-53,
CCI-000247,CA-2_a,NIST_SP_800-53,
CCI-000248,CA-2_a,NIST_SP_800-53,
CCI-000249,CA-2_a,NIST_SP_800-53,
CCI-000250,CA-2_a,NIST_SP_800-53,
CCI-000246,CA-2_a_1,NIST_SP_800-53_Revision_4,
CCI-000247,CA-2_a_2,NIST_SP_800-53_Revision_4,
CCI-000248,CA-2_a_3,NIST_SP_800-53_Revision_4,
CCI-002070,CA-2_a_3,NIST_SP_800-53_Revision_4,
CCI-000251,CA-2_b,NIST_SP_800-53,
CCI-000251,CA-2_b,NIST_SP_800-53_Revision_4,
CCI-000252,CA-2_b,NIST_SP_800-53,
CCI-000252,CA-2_b,NIST_SP_800-53_Revision_4,
CCI-000253,CA-2_c,NIST_SP_800-53,
CCI-000253,CA-2_c,NIST_SP_800-53_Revision_4,
CCI-000254,CA-2_d,NIST_SP_800-53,
CCI-000254,CA-2_d,NIST_SP_800-53_Revision_4,
CCI-002071,CA-2_d,NIST_SP_800-53_Revision_4,
CCI-000245,CA-2.1_(i),NIST_SP_800-53A,
CCI-000246,CA-2.1_(ii),NIST_SP_800-53A,
CCI-000247,CA-2.1_(ii),NIST_SP_800-53A,
CCI-000248,CA-2.1_(ii),NIST_SP_800-53A,
CCI-000249,CA-2.1_(ii),NIST_SP_800-53A,
CCI-000250,CA-2.1_(ii),NIST_SP_800-53A,
CCI-000252,CA-2.2_(i),NIST_SP_800-53A,
CCI-000251,CA-2.2_(ii),NIST_SP_800-53A,
CCI-000253,CA-2.2_(iii),NIST_SP_800-53A,
CCI-000254,CA-2.2_(iv),NIST_SP_800-53A,
CCI-000262,CA-3_(1),NIST_SP_800-53,
CCI-000262,CA-3_(1),NIST_SP_800-53_Revision_4,
CCI-002072,CA-3_(1),NIST_SP_800-53_Revision_4,
CCI-002073,CA-3_(1),NIST_SP_800-53_Revision_4,
CCI-000262,CA-3_(1).1,NIST_SP_800-53A,
CCI-000263,CA-3_(2),NIST_SP_800-53,
CCI-000263,CA-3_(2),NIST_SP_800-53_Revision_4,
CCI-002074,CA-3_(2),NIST_SP_800-53_Revision_4,
CCI-000263,CA-3_(2).1,NIST_SP_800-53A,
CCI-002075,CA-3_(3),NIST_SP_800-53_Revision_4,
CCI-002076,CA-3_(3),NIST_SP_800-53_Revision_4,
CCI-002077,CA-3_(3),NIST_SP_800-53_Revision_4,
CCI-002078,CA-3_(4),NIST_SP_800-53_Revision_4,
CCI-002079,CA-3_(4),NIST_SP_800-53_Revision_4,
CCI-002080,CA-3_(5),NIST_SP_800-53_Revision_4,
CCI-002081,CA-3_(5),NIST_SP_800-53_Revision_4,
CCI-002082,CA-3_(5),NIST_SP_800-53_Revision_4,
CCI-000257,CA-3_a,NIST_SP_800-53,
CCI-000257,CA-3_a,NIST_SP_800-53_Revision_4,
CCI-001580,CA-3_b,NIST_SP_800-53,
CCI-000258,CA-3_b,NIST_SP_800-53,
CCI-000258,CA-3_b,NIST_SP_800-53_Revision_4,
CCI-000259,CA-3_b,NIST_SP_800-53,
CCI-000259,CA-3_b,NIST_SP_800-53_Revision_4,
CCI-000260,CA-3_b,NIST_SP_800-53,
CCI-000260,CA-3_b,NIST_SP_800-53_Revision_4,
CCI-000261,CA-3_c,NIST_SP_800-53,
CCI-002083,CA-3_c,NIST_SP_800-53_Revision_4,
CCI-002084,CA-3_c,NIST_SP_800-53_Revision_4,
CCI-001580,CA-3.1_(i),NIST_SP_800-53A,
CCI-000257,CA-3.1_(ii),NIST_SP_800-53A,
CCI-000258,CA-3.1_(iii),NIST_SP_800-53A,
CCI-000259,CA-3.1_(iii),NIST_SP_800-53A,
CCI-000260,CA-3.1_(iii),NIST_SP_800-53A,
CCI-000261,CA-3.1_(iv),NIST_SP_800-53A,
CCI-000267,CA-5_(1),NIST_SP_800-53,
CCI-000267,CA-5_(1),NIST_SP_800-53_Revision_4,
CCI-000268,CA-5_(1),NIST_SP_800-53,
CCI-000268,CA-5_(1),NIST_SP_800-53_Revision_4,
CCI-000269,CA-5_(1),NIST_SP_800-53,
CCI-000269,CA-5_(1),NIST_SP_800-53_Revision_4,
CCI-000267,CA-5_(1).1,NIST_SP_800-53A,
CCI-000268,CA-5_(1).1,NIST_SP_800-53A,
CCI-000269,CA-5_(1).1,NIST_SP_800-53A,
CCI-000264,CA-5_a,NIST_SP_800-53,
CCI-000264,CA-5_a,NIST_SP_800-53_Revision_4,
CCI-000265,CA-5_b,NIST_SP_800-53,
CCI-000265,CA-5_b,NIST_SP_800-53_Revision_4,
CCI-000266,CA-5_b,NIST_SP_800-53,
CCI-000266,CA-5_b,NIST_SP_800-53_Revision_4,
CCI-000264,CA-5-1_(i)__and__(ii),NIST_SP_800-53A,
CCI-000265,CA-5-1_(iii),NIST_SP_800-53A,
CCI-000266,CA-5-1_(iv),NIST_SP_800-53A,
CCI-000270,CA-6_a,NIST_SP_800-53,
CCI-000270,CA-6_a,NIST_SP_800-53_Revision_4,
CCI-000271,CA-6_b,NIST_SP_800-53,
CCI-000271,CA-6_b,NIST_SP_800-53_Revision_4,
CCI-000272,CA-6_c,NIST_SP_800-53,
CCI-000272,CA-6_c,NIST_SP_800-53_Revision_4,
CCI-000273,CA-6_c,NIST_SP_800-53,
CCI-000273,CA-6_c,NIST_SP_800-53_Revision_4,
CCI-000270,CA-6.1_(i),NIST_SP_800-53A,
CCI-000271,CA-6.1_(ii),NIST_SP_800-53A,
CCI-000273,CA-6.1_(iii),NIST_SP_800-53A,
CCI-000272,CA-6.1_(iv),NIST_SP_800-53A,
CCI-000274,CA-7,NIST_SP_800-53,
CCI-000274,CA-7,NIST_SP_800-53_Revision_4,
CCI-000282,CA-7_(1),NIST_SP_800-53,
CCI-000282,CA-7_(1),NIST_SP_800-53_Revision_4,
CCI-002085,CA-7_(1),NIST_SP_800-53_Revision_4,
CCI-000282,CA-7_(1).1,NIST_SP_800-53A,
